"","x"
"1",0.126599372321805
"2",-0.00891037840527698
"3",-0.0281304253472255
"4",-0.0319249180204291
"5",-0.0472751437186931
"6",-0.0958290726403181
"7",-0.196075108885294
"8",-0.213298362515063
"9",-0.235429489215575
"10",-0.483372078796036
"11",-0.819583308741073
"12",-0.895838907021956
"13",-0.906468650613357
"14",-0.912382053865885
"15",-0.917651132355617
"16",-0.924169774462795
"17",-0.912692971329974
"18",-0.923793346170179
"19",-0.900516573889538
"20",-0.895839328185102
"21",-0.908904536946252
"22",-0.883912428723749
"23",-0.885347820898237
"24",-0.861947012471304
"25",-0.841698585250294
"26",-0.830010195647846
"27",-0.831416085070782
"28",-0.817523595352482
"29",-0.813318570776815
"30",-0.788446266029112
"31",-0.788535010594104
"32",-0.779462654068976
"33",-0.768060416689669
"34",-0.76087882868295
"35",-0.736540176193173
"36",-0.752307878132531
"37",-0.783446461278488
"38",-0.788348011226168
"39",-0.768922795446332
"40",-0.749222637706223
"41",-0.736671033647867
"42",-0.756762651485071
"43",-0.76291030733849
"44",-0.799791098275134
"45",-0.811270928328727
"46",-0.818662757697161
"47",-0.772072973013925
"48",-0.843325273075961
"49",-0.84794755837718
"50",-0.810213113057664
"51",-0.774994221943407
"52",-0.75848195009617
"53",-0.783473655621944
"54",-0.797327558959806
"55",-0.770128038194445
"56",-0.791263050770796
"57",-0.794023057681819
"58",-0.794299033960634
"59",-0.697612682155365
"60",-0.790186904846294
"61",-0.787793432857288
"62",-0.758931848770342
"63",-0.759894941863896
"64",-0.739971819430324
"65",-0.72770899591095
"66",-0.736648039574936
"67",-0.750635281137579
"68",-0.739134170862908
"69",-0.731839840937918
"70",-0.693160598251319
"71",-0.69637825578998
"72",-0.638958217106616
"73",-0.684792539442018
"74",-0.657734921885865
"75",-0.610176908170283
"76",-0.633678724328349
"77",-0.580744791551356
"78",-0.544055454671598
"79",-0.576930274542611
"80",-0.5495644371756
"81",-0.521559638131907
"82",-0.519823617289503
"83",-0.511926013669453
"84",-0.458782556531304
"85",-0.49285091254375
"86",-0.468418869704045
"87",-0.469760608320669
"88",-0.479221907155715
"89",-0.500927138798632
"90",0.060980461735328
"91",0.0883402602096115
"92",-0.433908457358171
"93",-0.461269299016601
"94",-0.404103728476118
"95",-0.452164478925923
"96",-0.430149199210053
"97",-0.413015029078124
"98",-0.42006910499661
"99",-0.335894055790416
"100",-0.453559020539757
"101",-0.47579575596817
"102",-0.406473134119393
"103",-0.432149106877537
"104",-0.435336988237139
"105",-0.492335083589836
"106",-0.561488335810306
"107",-0.550428602430557
"108",-0.60448154988504
"109",-0.598013954975456
"110",-0.498961555317029
"111",-0.404689284683259
"112",-0.38425958743886
"113",-0.44837319685247
"114",-0.427174843998533
"115",-0.378404060674025
"116",-0.38258393231907
"117",-0.409467287596546
"118",-0.390504763649686
"119",-0.36280568319865
"120",-0.332812025595638
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
