"","x"
"1",0.112649877209034
"2",0.155341512286002
"3",-0.0144011666767941
"4",-0.0300018210513567
"5",-0.0441906993374035
"6",-0.167759913197873
"7",-0.33445418711286
"8",-0.329783293202445
"9",-0.378007898992059
"10",-0.493947299765196
"11",-0.882801878332642
"12",-0.926749021903207
"13",-0.93788254208917
"14",-0.964212327294925
"15",-0.915039530560595
"16",-0.929885809505311
"17",-0.929173093885468
"18",-0.975513346580987
"19",-0.914731288470491
"20",-0.902513071954551
"21",-0.933218061456378
"22",-0.930940936274194
"23",-0.950039869578468
"24",-0.920823225536222
"25",-0.925901074833205
"26",-0.880119510998707
"27",-0.904355926664749
"28",-0.907704836254642
"29",-0.88751312453584
"30",-0.895898013454893
"31",-0.876382989068695
"32",-0.862481367515407
"33",-0.870553729068619
"34",-0.854684174044706
"35",-0.848353569058501
"36",-0.875705650847649
"37",-0.89239413562747
"38",-0.897233702991366
"39",-0.883960597462391
"40",-0.874318073201742
"41",-0.860501446314687
"42",-0.886971946399306
"43",-0.864766075046449
"44",-0.883741976804088
"45",-0.889898995322963
"46",-0.889244006016102
"47",-0.823419571083123
"48",-0.905718560480601
"49",-0.90333981374808
"50",-0.842830221824744
"51",-0.785361697862637
"52",-0.78303536345776
"53",-0.830895170221987
"54",-0.837496045277182
"55",-0.805649354595092
"56",-0.840885637974991
"57",-0.852403520649966
"58",-0.840673702899981
"59",-0.751355482262086
"60",-0.849588548143836
"61",-0.877729011611856
"62",-0.837072788938168
"63",-0.867803180051876
"64",-0.812895474569484
"65",-0.828036042269788
"66",-0.853367265348935
"67",-0.861600483773433
"68",-0.835369406761467
"69",-0.866702617288905
"70",-0.823715880839936
"71",-0.820686563561441
"72",-0.827359736570715
"73",-0.763980831933604
"74",-0.803541572889203
"75",-0.77445090614576
"76",-0.763394649121276
"77",-0.737971953900755
"78",-0.589311537652972
"79",-0.67778531051402
"80",-0.681458678866381
"81",-0.658070629209455
"82",-0.648695406408847
"83",-0.619114975401249
"84",-0.583565058970178
"85",-0.573253841213853
"86",-0.526568314660873
"87",-0.537700137397302
"88",-0.598956005571442
"89",-0.623999761264275
"90",-0.150304865572696
"91",-0.0614058568445842
"92",-0.509684487686996
"93",-0.497133121035509
"94",-0.525001446061892
"95",-0.488912956202676
"96",-0.540388640593309
"97",-0.458150986151458
"98",-0.457743519419623
"99",-0.312033760631893
"100",-0.528438617129412
"101",-0.533926171274962
"102",-0.423926409760927
"103",-0.363376681951438
"104",-0.342210216110017
"105",-0.494284200895651
"106",-0.567827890462967
"107",-0.571819199819443
"108",-0.633331309942941
"109",-0.615429088723727
"110",-0.503403038074572
"111",-0.401343415654412
"112",-0.451604794538669
"113",-0.556287361049291
"114",-0.413964257761545
"115",-0.476588338524141
"116",-0.362823080003699
"117",-0.410481971233346
"118",-0.512823378700209
"119",-0.401406526461959
"120",-0.26845500362915
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
