"","x"
"1",0.00149186201498575
"2",-0.046504426808568
"3",0.0704552336731619
"4",-0.0318497151166879
"5",-0.10999826519401
"6",-0.00347829989677184
"7",-0.0457124232269589
"8",0.0521840592842666
"9",-0.049866338811372
"10",-0.293743936406599
"11",-0.760152743208458
"12",-0.908490451529374
"13",-0.945306089775661
"14",-0.941187286818855
"15",-0.96131444939529
"16",-0.937266165991273
"17",-0.930556097941969
"18",-0.918193087625814
"19",-0.912242655839503
"20",-0.907075033795338
"21",-0.900112923046265
"22",-0.887456694518036
"23",-0.800762780491628
"24",-0.581166423996641
"25",-0.486713663659869
"26",-0.494136216677849
"27",-0.428099520226516
"28",-0.451513042053969
"29",-0.418394475541702
"30",-0.401598929351273
"31",-0.438205489450545
"32",-0.424751390527559
"33",-0.417322698109937
"34",-0.417272414053898
"35",-0.38467540312432
"36",-0.301855524211193
"37",-0.361189674924816
"38",-0.29490796591042
"39",-0.363674371933997
"40",-0.370859594398046
"41",-0.404095950652015
"42",-0.381768760494652
"43",-0.399585739269767
"44",-0.415800415800414
"45",-0.40891705519417
"46",-0.369430516288552
"47",-0.287265157429091
"48",-0.448507260930018
"49",-0.413824486154787
"50",-0.486990566619397
"51",-0.382117830468569
"52",-0.326195952383243
"53",-0.373124472651236
"54",-0.381531262901966
"55",-0.292066215807004
"56",-0.400255083796217
"57",-0.429133175273234
"58",-0.411606301332974
"59",-0.425987227411156
"60",-0.329861843820212
"61",-0.366739230968789
"62",-0.301213240279997
"63",-0.29873210372923
"64",-0.269592571613534
"65",-0.28801857151434
"66",-0.360681811913322
"67",-0.510057288351368
"68",-0.32747280893532
"69",-0.328006013980551
"70",-0.313369597394905
"71",-0.247766897540005
"72",-0.35638202576589
"73",-0.363911122920059
"74",-0.340729230351201
"75",-0.275454315892133
"76",-0.203003153221554
"77",-0.281864045615718
"78",-0.284831940462392
"79",-0.128394025989912
"80",-0.183956430940582
"81",-0.0789596622809625
"82",-0.0213953652180063
"83",-0.00492251285794054
"84",-0.00536827911680426
"85",0.00935495058088787
"86",-0.215321137152409
"87",-0.197233082202126
"88",-0.0814643093223099
"89",-0.213787054274672
"90",0.820932404560842
"91",0.731436747435705
"92",-0.170327207530255
"93",-0.160804616205862
"94",-0.0967316987188389
"95",-0.0502584244413803
"96",-0.188450852002251
"97",-0.162278865034389
"98",0.00353649286298885
"99",0.0618371064272714
"100",-0.0310906843812759
"101",-0.00677617884786486
"102",-0.0694401627720599
"103",0.0555745567636756
"104",0.0645828722104076
"105",-0.133582792227649
"106",-0.142747373732736
"107",0.0347986272332697
"108",0.060922116003532
"109",-0.191302839299141
"110",-0.106750145864193
"111",-0.154635920105111
"112",0.182296644778491
"113",-0.0592959382789854
"114",-0.109202057188163
"115",0.0939966387984792
"116",-0.00013149376922228
"117",-0.0774580239748616
"118",-0.0925815259862688
"119",-0.010471037555697
"120",0.202197239272223
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
