"","x"
"1",0.0736616234366141
"2",0.0255169814030329
"3",0.137135332252837
"4",0.0287211917600669
"5",-0.0328282828282837
"6",-0.0154776909503427
"7",0.0280824180012034
"8",0.11290149736476
"9",-0.00553930138794823
"10",-0.264770420532715
"11",-0.76691547696693
"12",-0.804686878332139
"13",-0.820250723240115
"14",-0.86872473252384
"15",-0.905082938162981
"16",-0.863867684478371
"17",-0.87354928359246
"18",-0.832758938575217
"19",-0.8393438955155
"20",-0.822921796513346
"21",-0.835138819617623
"22",-0.865434482758621
"23",-0.784500438434391
"24",-0.573800185513851
"25",-0.481638915084383
"26",-0.403344125539609
"27",-0.327807314449063
"28",-0.36412148313769
"29",-0.313306651077035
"30",-0.298425709283047
"31",-0.398018540796832
"32",-0.373532377601172
"33",-0.365113246396705
"34",-0.354468700178043
"35",-0.357776132496314
"36",-0.285042464102332
"37",-0.332678573751515
"38",-0.205689670002006
"39",-0.301718650541059
"40",-0.288922794450407
"41",-0.328954370691045
"42",-0.338010571840462
"43",-0.331586732344449
"44",-0.374022862344062
"45",-0.391191596249133
"46",-0.321953413314638
"47",-0.206864768193699
"48",-0.339912540713206
"49",-0.239539407548598
"50",-0.305032253549056
"51",-0.145437857749719
"52",-0.193940306372087
"53",-0.214328998738367
"54",-0.183950240539956
"55",-0.0843901944894614
"56",-0.228132087368136
"57",-0.284072999498534
"58",-0.186194437442236
"59",-0.209415570667591
"60",-0.172308981265886
"61",-0.176294287651195
"62",-0.153765234757028
"63",-0.171824045220664
"64",-0.102864645500115
"65",-0.144902603664416
"66",-0.21863329666557
"67",-0.373707364451807
"68",-0.185135946479114
"69",-0.209037865736508
"70",-0.169325901657946
"71",-0.132339574622796
"72",-0.293238451689154
"73",-0.250447215295097
"74",-0.189110344827586
"75",-0.109956446434911
"76",-0.00173827939554627
"77",-0.0843314988669499
"78",-0.00215114922412496
"79",0.0556711717725416
"80",0.04084963666853
"81",0.165100208361443
"82",0.157452314176363
"83",0.13761234166018
"84",0.117684805833113
"85",0.0514481811942376
"86",-0.118778652473029
"87",-0.0503145045386949
"88",0.0276939797816509
"89",-0.0942138332054161
"90",1.12104704836722
"91",0.876365902821977
"92",-0.067326963110458
"93",-0.129419573185681
"94",-0.0217972128784238
"95",0.0147216834349631
"96",-0.111259838303799
"97",-0.0769654792255255
"98",0.132399042340712
"99",0.106892282294676
"100",0.102328760435483
"101",0.144281107615184
"102",0.0983470785166847
"103",0.283657155614539
"104",0.225872257141786
"105",0.10067254105282
"106",0.0689129029941877
"107",0.358924230145872
"108",0.224574875544635
"109",-0.0515617164553377
"110",-0.00686496933030911
"111",0.123279782522165
"112",0.363371554940722
"113",0.109412352374495
"114",0.0748362494760779
"115",0.196713127360276
"116",0.177162409485164
"117",0.0875679845708817
"118",0.0205502967286284
"119",0.145663917931529
"120",0.356083998055866
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
