"","x"
"1",0.158791007198796
"2",0.120419099800544
"3",0.210624736620308
"4",0.10556669712468
"5",0.0739445770039442
"6",0.104305683215355
"7",0.100696112856524
"8",0.0709742565983404
"9",0.211532513264654
"10",0.123748178643293
"11",-0.194454508400885
"12",-0.407992930086411
"13",-0.429186623895944
"14",-0.403567055195248
"15",-0.42816435734018
"16",-0.417191472926433
"17",-0.401931117075312
"18",-0.367993130936226
"19",-0.326802136681536
"20",-0.294513225137383
"21",-0.224964558007656
"22",-0.30153700052644
"23",-0.277169103704014
"24",-0.178858806792922
"25",-0.222276890866264
"26",-0.219395587525767
"27",-0.207065760852753
"28",-0.240773916159083
"29",-0.199102370146239
"30",-0.187019198447993
"31",-0.181650376736165
"32",-0.148741607282608
"33",-0.197229498287327
"34",-0.192197569834384
"35",-0.17523171935251
"36",-0.22015627332902
"37",-0.242978223512392
"38",-0.231673955343207
"39",-0.172347827914948
"40",-0.14359562226933
"41",-0.195071736473007
"42",-0.161547539310434
"43",-0.159737246241972
"44",-0.185354253805813
"45",-0.222696011004127
"46",-0.220788291340471
"47",-0.258350965280595
"48",-0.228438782120497
"49",-0.229408776274848
"50",-0.264685542056755
"51",-0.18576023067539
"52",-0.22017768810997
"53",-0.135258916258649
"54",-0.153581813375627
"55",-0.0530315002107026
"56",-0.119901743227049
"57",-0.139596966618629
"58",-0.122569324245279
"59",-0.184759440645599
"60",-0.133208756006405
"61",-0.100490137762023
"62",-0.0975784628905819
"63",-0.112608124632041
"64",-0.118671990922584
"65",-0.136309706903368
"66",-0.0900834504966209
"67",-0.179007243381991
"68",-0.202051304058616
"69",-0.129585868414587
"70",-0.121798677069195
"71",-0.0492868550030277
"72",-0.0440588449120117
"73",-0.0489043680162499
"74",-0.202019055090473
"75",-0.0235240824238339
"76",0.0113919267360205
"77",-0.0930751112274304
"78",-0.0450677661300968
"79",-0.12195499108275
"80",-0.086966041641784
"81",-0.0632375189107424
"82",-0.132362686438158
"83",-0.0907596251803008
"84",-0.0453000782633718
"85",-0.0510578279266574
"86",-0.0569702856102244
"87",-0.0436069876992877
"88",-0.0797292589459073
"89",-0.0809118358074242
"90",0.821931531392692
"91",0.964178727966445
"92",0.011604014361724
"93",0.0202234660833409
"94",0.0356903645584132
"95",0.0586263717786275
"96",0.0268477037729102
"97",-0.00379853983705325
"98",0.00751597535677417
"99",-0.0307508468816131
"100",0.0547613906283717
"101",0.0387692893884537
"102",0.0177021294165007
"103",0.0501891488916049
"104",-0.0835571652548071
"105",-0.0092736680963057
"106",0.00313603921851224
"107",0.120496207332494
"108",-0.0342712029334689
"109",0.00355548205721856
"110",0.119167273465201
"111",0.159797942462881
"112",-0.0015204624062779
"113",0.12500892241072
"114",0.0950343455836435
"115",0.105203568678957
"116",0.0694553548049248
"117",0.0922902843081284
"118",0.110968751417293
"119",0.104213342614139
"120",0.0480747567295037
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
