"","x"
"1",0.188074755265502
"2",0.173776568712444
"3",0.276563073739024
"4",0.162460097258273
"5",0.196941235402772
"6",0.214867475465576
"7",0.203694434128308
"8",0.210464750078735
"9",0.16585440848643
"10",0.104442250740371
"11",-0.204883894255359
"12",-0.435754509333104
"13",-0.468038713670767
"14",-0.453008403840942
"15",-0.445922022888528
"16",-0.468487228826741
"17",-0.45227892481496
"18",-0.421212554050718
"19",-0.397159299942186
"20",-0.361754212349283
"21",-0.285343049635638
"22",-0.342080122285205
"23",-0.327211269053803
"24",-0.223094478662557
"25",-0.253200531901025
"26",-0.210458986434248
"27",-0.23333246961884
"28",-0.264515888129642
"29",-0.229793162307344
"30",-0.204800452733626
"31",-0.206213497936078
"32",-0.179262023433623
"33",-0.225236585024139
"34",-0.209590427508103
"35",-0.188914767225813
"36",-0.235142915895539
"37",-0.240845177279855
"38",-0.221185531216464
"39",-0.258945025044834
"40",-0.248923816197818
"41",-0.280514267795546
"42",-0.283555683067947
"43",-0.244453537588069
"44",-0.276905691895741
"45",-0.3032719683983
"46",-0.295220891324379
"47",-0.316521670461577
"48",-0.282438371870818
"49",-0.298028877838359
"50",-0.303785746487798
"51",-0.183386649282129
"52",-0.201725749842904
"53",-0.107901762712923
"54",-0.114585513138621
"55",0.0199953266348425
"56",-0.0362033473552308
"57",-0.0353307660999967
"58",-0.00463642686036703
"59",-0.0255768516574894
"60",-0.0127022690121623
"61",0.0523022522868783
"62",0.0643329030298401
"63",0.0645632699586445
"64",0.030471943515423
"65",0.00731508313873208
"66",0.0275229357798135
"67",-0.0496800903274401
"68",-0.116258533885129
"69",-0.0337878197636683
"70",-0.00718079235433888
"71",0.0378015451726494
"72",0.048308549701815
"73",0.0647050735597401
"74",-0.0939303229093714
"75",0.102704161632776
"76",0.16495270567532
"77",0.0626026647198394
"78",0.154888592113586
"79",0.0254579846086092
"80",0.072775475150292
"81",0.0704854661378571
"82",0.042333054475663
"83",0.0709913225728096
"84",0.121395579447305
"85",0.106339077604975
"86",0.103129764146713
"87",0.164799937194147
"88",0.102354513674688
"89",0.128622730261489
"90",1.26106937693327
"91",1.18818873291694
"92",0.105003003303635
"93",0.129520225776109
"94",0.125986228661596
"95",0.212869071519
"96",0.179649691699219
"97",0.165772278949594
"98",0.177973910091649
"99",0.190631621895518
"100",0.286718899292953
"101",0.203295189024017
"102",0.248699296950197
"103",0.396549371579314
"104",0.201725749842903
"105",0.281269028400135
"106",0.318406026725656
"107",0.498414393964687
"108",0.251603568125544
"109",0.379700072007769
"110",0.526667181825202
"111",0.613133971678154
"112",0.366671165699376
"113",0.6004919670997
"114",0.665654187865437
"115",0.668473892647852
"116",0.610382185633021
"117",0.614818670342959
"118",0.613765748284272
"119",0.602168973640555
"120",0.45290876980256
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
