"","x"
"1",0.0938746594005391
"2",0.188518816663307
"3",0.0969587812611445
"4",0.0820527267605162
"5",-0.00437208149096902
"6",0.0887904226061003
"7",0.143481820717457
"8",0.129051713739209
"9",0.191367626324648
"10",-0.111334201577314
"11",-0.79341560571741
"12",-0.98646673867463
"13",-1
"14",-1
"15",-0.993459836495912
"16",-1
"17",-0.887715601929653
"18",-0.74089506862789
"19",-0.77500724847782
"20",-0.828126763649401
"21",-0.881273591252558
"22",-0.861377217514004
"23",-0.751398132449325
"24",-0.564336150789491
"25",-0.598803707879242
"26",-0.541381758397789
"27",-0.507989718517454
"28",-0.496426857907627
"29",-0.487525944202253
"30",-0.461061884421222
"31",-0.463191521547622
"32",-0.521122149108799
"33",-0.456327086761869
"34",-0.426254671040007
"35",-0.512459429942625
"36",-0.507336265810262
"37",-0.529507674292786
"38",-0.519755342557716
"39",-0.522305184065025
"40",-0.494052979721126
"41",-0.553967775826728
"42",-0.487687052576325
"43",-0.53976769783785
"44",-0.499348141588567
"45",-0.569879441669074
"46",-0.593807295947398
"47",-0.598531837085902
"48",-0.626024242950863
"49",-0.636599011720505
"50",-0.631524891251813
"51",-0.568634601758846
"52",-0.575742973222224
"53",-0.58257220708447
"54",-0.555021131012277
"55",-0.488330425320349
"56",-0.524759403484218
"57",-0.570221909996281
"58",-0.517103773076162
"59",-0.403795110803198
"60",-0.437300753045785
"61",-0.384245235821167
"62",-0.359299254757252
"63",-0.418722174490355
"64",-0.395498443357265
"65",-0.347624525079302
"66",-0.370005056072672
"67",-0.518292957323934
"68",-0.2352732497295
"69",-0.388463885892964
"70",-0.278070371529489
"71",-0.297047014066438
"72",-0.386001022501675
"73",-0.426182837961292
"74",-0.185280892190783
"75",-0.141854560484513
"76",-0.0577181463870166
"77",-0.125579356131776
"78",-0.00554870530209994
"79",0.073758852500265
"80",-0.0565558108801942
"81",0.0130783785811301
"82",0.0775761640837376
"83",0.0234296443285631
"84",-0.0271912732383585
"85",0.0721010068836183
"86",0.151172670875553
"87",-0.124532771377149
"88",-0.0818480692835739
"89",-0.0550874150491713
"90",1.0278223249916
"91",1.06545059307216
"92",-0.0125927766218448
"93",0.0367499577544452
"94",0.0536413915874832
"95",-0.0726386846986892
"96",0.0426454792184257
"97",-0.047856936507824
"98",0.103622684453438
"99",0.201518356518002
"100",0.0987009601598827
"101",0.096451178176175
"102",0.17367776013257
"103",-0.0479514858500417
"104",-0.0693247812829735
"105",-0.169351498637603
"106",-0.056379553230028
"107",0.0582259244667089
"108",-0.0692118248984452
"109",-0.164254721269476
"110",0.160432133163165
"111",0.254294017616949
"112",0.206984198101019
"113",0.233265111202076
"114",0.296812821069386
"115",0.221783956885107
"116",0.146832708558355
"117",0.351659172505141
"118",0.292141536880323
"119",0.183229580739518
"120",0.451238980435285
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
