"","x"
"1",-0.033458749585549
"2",-0.00272839664066438
"3",0.045242256237193
"4",-0.0415130806930306
"5",-0.0340697942520745
"6",-0.0228999646887985
"7",-0.0187890870360734
"8",-0.0175143237298707
"9",0.0130804535637177
"10",-0.17457150744059
"11",-0.566726542688082
"12",-0.758424732217306
"13",-0.730958415940973
"14",-0.804903469154797
"15",-0.741581277357739
"16",-0.76033334621379
"17",-0.755952090549836
"18",-0.756971923874128
"19",-0.801141494780191
"20",-0.838804939330071
"21",-0.465031446540882
"22",-0.474968643612255
"23",-0.456008146639509
"24",-0.474209143857781
"25",-0.318213504483065
"26",-0.313684471297428
"27",-0.393322685352154
"28",-0.385714105300377
"29",-0.367719226124713
"30",-0.34648826876806
"31",-0.354678027621536
"32",-0.33050337501962
"33",-0.333294020521286
"34",-0.341470162033987
"35",-0.336560699306181
"36",-0.365291822801704
"37",-0.330872586083582
"38",-0.332117826570461
"39",-0.31931336161188
"40",-0.305585012371864
"41",-0.350570887975466
"42",-0.354250547882371
"43",-0.353935632887615
"44",-0.388641779189835
"45",-0.343497046598118
"46",-0.350612964327052
"47",-0.394799187725631
"48",-0.370833810560074
"49",-0.407805098727977
"50",-0.425339423294098
"51",-0.229501016737056
"52",-0.291749790848832
"53",-0.388891291499084
"54",-0.357547853519205
"55",-0.342955285042787
"56",-0.403354731828533
"57",-0.394813579091563
"58",-0.343172514811085
"59",-0.361730890023759
"60",-0.320199853368453
"61",-0.318088552915764
"62",-0.332241712464555
"63",-0.297495773457312
"64",-0.297620422038357
"65",-0.29255652872236
"66",-0.319420318626235
"67",-0.359978113808197
"68",-0.251400749642568
"69",-0.292957505976483
"70",-0.302265875259091
"71",-0.267601054798977
"72",-0.218864239869491
"73",-0.24781132075472
"74",-0.2628919548468
"75",-0.178462321792258
"76",-0.196683035770937
"77",-0.240174515035697
"78",-0.115897548823955
"79",-0.238755216652066
"80",-0.205801750375709
"81",-0.176061766141671
"82",-0.151315705719849
"83",-0.177441983190249
"84",-0.169653602637223
"85",-0.15688432860269
"86",-0.165301014359108
"87",-0.14550586021716
"88",-0.197153636876957
"89",-0.179740982936551
"90",0.655778829492848
"91",0.589554612937427
"92",-0.150692008592328
"93",-0.187655770861875
"94",-0.212361755262219
"95",-0.18685385910476
"96",-0.187198835054278
"97",-0.153576897834172
"98",-0.169854256550561
"99",-0.179433664259926
"100",-0.176669339136411
"101",-0.175035925275425
"102",-0.151818204632717
"103",-0.0516033161270134
"104",-0.202426153549134
"105",-0.315832720667733
"106",-0.21174915803385
"107",-0.15121429432325
"108",-0.307199558224612
"109",-0.227828186244592
"110",-0.149248656212808
"111",-0.162110495125215
"112",-0.213701903494719
"113",-0.133058855291573
"114",-0.198022535069891
"115",-0.149064877430263
"116",-0.2039253415432
"117",-0.200328757497425
"118",-0.214365477194899
"119",-0.152121468364505
"120",-0.197843811584683
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
