"","x"
"1",-0.0461033465242321
"2",0.0291696597854341
"3",0.0466947648624654
"4",-0.0383264059521862
"5",0.0258297506448804
"6",0.00301011004351803
"7",-0.0205511652376358
"8",0.00551650502714218
"9",0.0347448545577063
"10",-0.0988308194730876
"11",-0.55618278687628
"12",-0.639679307440536
"13",-0.58952197257989
"14",-0.714738477896373
"15",-0.523168848061133
"16",-0.544335755936788
"17",-0.584094777827779
"18",-0.503516558552407
"19",-0.675824600750164
"20",-0.694562408148786
"21",-0.196569934425214
"22",-0.163967369677674
"23",-0.0960375249417579
"24",-0.194280726974023
"25",-0.17749950504851
"26",-0.11010285858522
"27",-0.232147845227319
"28",-0.252883084470073
"29",-0.262094154979819
"30",-0.237183883411916
"31",-0.252196260174839
"32",-0.213590656694123
"33",-0.230418606675076
"34",-0.224427895852588
"35",-0.239382657257891
"36",-0.284003600812277
"37",-0.240113355493054
"38",-0.189378241182338
"39",-0.223629433539467
"40",-0.222870035294643
"41",-0.256876327502109
"42",-0.251119826828696
"43",-0.257308188860202
"44",-0.322888057972931
"45",-0.27105456272123
"46",-0.263598326359833
"47",-0.303876175700571
"48",-0.293694702654274
"49",-0.342540113355151
"50",-0.348336086415857
"51",-0.131545086917701
"52",-0.223611016660998
"53",-0.316009790241781
"54",-0.266377757103996
"55",-0.247547569752539
"56",-0.289480331595747
"57",-0.280779593006593
"58",-0.246032871274172
"59",-0.227473191698939
"60",-0.224463920277603
"61",-0.200592153960026
"62",-0.23503982750139
"63",-0.16616889297319
"64",-0.194377218887596
"65",-0.155470989939014
"66",-0.187226516173887
"67",-0.265242663198111
"68",-0.133704470548469
"69",-0.201559412236592
"70",-0.164044286202021
"71",-0.186767719732415
"72",-0.0658794912076197
"73",-0.133033425639016
"74",-0.115380023875843
"75",-0.0524325397239951
"76",-0.0869904507649649
"77",-0.122846960997826
"78",0.139887675900804
"79",-0.0694197700532946
"80",-0.0547033004862535
"81",-0.0665644400430204
"82",-0.0162130304329222
"83",-0.072635189625695
"84",-0.0365419377185167
"85",-0.0104434097732942
"86",-0.00942544980160231
"87",-0.0311377115892463
"88",-0.10071806895974
"89",-0.0537266683712624
"90",0.943667839796511
"91",0.854370105119784
"92",-0.0335299110932371
"93",-0.0716504253343436
"94",-0.0568486251312756
"95",-0.0224548137218806
"96",-0.0268356440885456
"97",-0.0490157990158034
"98",-0.0800004102059254
"99",-0.0459614079317379
"100",-0.0766827192294803
"101",-0.0952243154785654
"102",-0.0784628519460244
"103",0.134459849797805
"104",-0.0511118667119996
"105",-0.203467758537866
"106",-0.0852832766112769
"107",0.00797347924677361
"108",-0.171653615633684
"109",-0.0534823731728312
"110",0.00236664449073509
"111",-0.0215249949629509
"112",-0.0992637245306524
"113",-0.00983240717213674
"114",-0.0476883301757475
"115",-0.0408940234336538
"116",-0.0786485708498109
"117",-0.0733461919407806
"118",-0.0974624790414302
"119",-0.0547109991057597
"120",-0.0655581847376033
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
