"","x"
"1",0.0535574205611493
"2",0.0109031015844283
"3",0.0968315756644742
"4",-0.0028020304568549
"5",0.00803262866216059
"6",0.00315969441859543
"7",0.077888703229767
"8",0.0526756221096698
"9",-0.144675075516368
"10",-0.0819176376412042
"11",-0.274151590398488
"12",-0.744379031752991
"13",-0.766564799984278
"14",-0.782914656810541
"15",-0.748693752177079
"16",-0.77064438903734
"17",-0.834283029430582
"18",-0.787416743146359
"19",-0.821982281284607
"20",-0.811436191872303
"21",-0.829026093136266
"22",-0.81077443909414
"23",-0.793046115235805
"24",-0.547667604061569
"25",-0.378573624346757
"26",-0.289569649407149
"27",-0.23062085843764
"28",-0.1616828966482
"29",-0.205187119988726
"30",-0.190996190456423
"31",-0.499243745142111
"32",-0.367466721225526
"33",-0.428132464321293
"34",-0.503787581613886
"35",-0.539433623262492
"36",-0.551810127582603
"37",-0.333029017831345
"38",-0.441472037090699
"39",-0.603398703672927
"40",-0.541516066250942
"41",-0.597615237157278
"42",-0.584951415006042
"43",-0.596771840233449
"44",-0.608946851525797
"45",-0.467823627715644
"46",-0.528541578061726
"47",0.00273308580858078
"48",-0.526053234314269
"49",-0.546652636224001
"50",-0.640158942685612
"51",-0.48016381462183
"52",-0.616485566346291
"53",-0.605293416004902
"54",-0.490627972255085
"55",-0.560971665530822
"56",-0.613675126903554
"57",-0.591581307014539
"58",-0.59644642586621
"59",-0.624442141331246
"60",-0.504690596784849
"61",-0.508970120009795
"62",-0.404496130925911
"63",-0.356816838122267
"64",-0.486294649381015
"65",-0.468776715438208
"66",-0.411535008039423
"67",-0.4846258589569
"68",-0.578777975344942
"69",-0.491782629558541
"70",-0.450954557432462
"71",-0.427597662962539
"72",-0.412095854711297
"73",-0.436966396803903
"74",-0.470382908930337
"75",-0.295472132176097
"76",-0.165339286864312
"77",-0.166615431909007
"78",-0.203339588842445
"79",-0.210108782445475
"80",-0.0712648625383363
"81",-0.0510475034410971
"82",-0.232984211673606
"83",-0.22886162636808
"84",-0.0890119304885941
"85",-0.0981479480993318
"86",-0.125290933340312
"87",-0.401395268416266
"88",-0.244487957361245
"89",-0.0494262304554334
"90",0.73563604752245
"91",0.476017949144093
"92",-0.187055646026131
"93",-0.300240938428801
"94",-0.401630277555607
"95",-0.325679372606237
"96",-0.303663856029303
"97",-0.381085829369673
"98",-0.244373971412196
"99",0.0745520980669452
"100",-0.274682468073293
"101",-0.260949261280224
"102",-0.334608905973304
"103",-0.179968300067384
"104",-0.406292085957824
"105",-0.487325245274505
"106",-0.27402742014058
"107",-0.240640846453281
"108",-0.350812182741118
"109",-0.354214016625673
"110",-0.294403445365421
"111",-0.23968358044798
"112",-0.276899361374146
"113",-0.342293248428441
"114",-0.283987814640223
"115",-0.226948090339365
"116",-0.223607022817894
"117",-0.356363064647677
"118",-0.279615360521204
"119",-0.203035772718154
"120",-0.173211216958548
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
