"","x"
"1",0.215842328466018
"2",0.137038881093557
"3",0.31165583227313
"4",0.154483983226185
"5",0.0235635772700218
"6",-0.0506354009077149
"7",0.122697667903913
"8",0.000941202970018873
"9",-0.0159815517130576
"10",0.0663927920384488
"11",-0.583026356865719
"12",-0.694038750571784
"13",-0.783367702748304
"14",-0.826450038975662
"15",-0.798339761189704
"16",-0.8604627188784
"17",-0.807615650896884
"18",-0.714363647808419
"19",-0.804818583092762
"20",-0.824933123858859
"21",-0.696862192058526
"22",-0.843478042995306
"23",-0.783294931800483
"24",-0.590869719818745
"25",-0.235291989617342
"26",-0.107946805060007
"27",-0.0768232163737305
"28",0.0947911321856376
"29",0.00553164767375103
"30",0.0735410886186605
"31",-0.297134784336234
"32",0.0412024126874968
"33",-0.212388356256873
"34",-0.237570330257225
"35",-0.373598514197166
"36",-0.552274924169194
"37",-0.150404109655182
"38",-0.471028586936858
"39",-0.566170712607673
"40",-0.494162482608432
"41",-0.582605191224913
"42",-0.555816906852189
"43",-0.618761150583743
"44",-0.640770337133559
"45",-0.49268056552438
"46",-0.490213098639318
"47",0.158213409014171
"48",-0.444799460426515
"49",-0.497201353917281
"50",-0.699856814499416
"51",-0.561240492946978
"52",-0.694599509674153
"53",-0.539144148192938
"54",-0.442818992441045
"55",-0.528128757907946
"56",-0.523658530785024
"57",-0.592181587005425
"58",-0.589478063540091
"59",-0.593964718973474
"60",-0.357624950727625
"61",-0.378286301986244
"62",-0.210011251537275
"63",-0.158542567899031
"64",-0.258168333006602
"65",-0.238303775636462
"66",-0.355003320148971
"67",-0.396380003059609
"68",-0.498497857237529
"69",-0.351781530822754
"70",-0.263975828618187
"71",-0.276770464242416
"72",-0.148429649130256
"73",-0.206733947380021
"74",-0.18665541951325
"75",-0.0474546607686209
"76",0.158781535207284
"77",0.119481952445983
"78",0.324099902692183
"79",0.019518842127551
"80",0.3047116898742
"81",0.244694605027426
"82",0.258923871635426
"83",0.0737097699880784
"84",0.389137992457279
"85",0.235237948262886
"86",0.0557301305379254
"87",-0.177105646962308
"88",-0.0523582547248426
"89",0.221260899373311
"90",0.666621434171641
"91",0.542283871179722
"92",-0.217241680613531
"93",-0.428059949068989
"94",-0.386196234332727
"95",0.111759366490345
"96",-0.220999905595939
"97",-0.281649390464428
"98",-0.237311519513444
"99",0.0935911592126479
"100",-0.101810200453835
"101",-0.261102396873881
"102",-0.251811798987655
"103",-0.107871468574845
"104",-0.299150562263327
"105",-0.114257932195356
"106",0.0907617797492408
"107",0.0598738214329266
"108",-0.145177528161142
"109",-0.145233491577451
"110",-0.143683812405445
"111",0.0554349433122463
"112",-0.11574383190276
"113",-0.110062994150546
"114",0.108067090561792
"115",0.0626053605672754
"116",0.237469777167872
"117",0.0831989801657229
"118",-0.00640211334699958
"119",0.222030773194633
"120",0.204777403060251
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
