"","x"
"1",0.102884150325414
"2",0.0977781981257728
"3",0.203618819927591
"4",0.0451041651459196
"5",0.0256184203702743
"6",0.0608275152068773
"7",0.0498643810350416
"8",0.0906689559532452
"9",0.0588446332345571
"10",-0.168628100602111
"11",-0.740848722616704
"12",-0.847090540286571
"13",-0.853123606703559
"14",-0.85685594531211
"15",-0.848105351880302
"16",-0.834377686916611
"17",-0.827142612691894
"18",-0.812500398813132
"19",-0.82059684511182
"20",-0.813750935862241
"21",-0.810461580983969
"22",-0.803123929400718
"23",-0.748095950752228
"24",-0.677649013917828
"25",-0.676620374497114
"26",-0.61671667261143
"27",-0.594159523269921
"28",-0.613785153582549
"29",-0.616164955522496
"30",-0.583924696677975
"31",-0.600373188581398
"32",-0.578434127529819
"33",-0.537845208614153
"34",-0.509212012620263
"35",-0.545361051935649
"36",-0.538439807141782
"37",-0.555011662072515
"38",-0.528898213318896
"39",-0.520728210085385
"40",-0.523748844414461
"41",-0.532398472835471
"42",-0.540122352499544
"43",-0.581797895878115
"44",-0.563167356548331
"45",-0.605180538428085
"46",-0.590015108630393
"47",-0.598353780759991
"48",-0.645472752615127
"49",-0.652753786456378
"50",-0.674479277010709
"51",-0.632001713612509
"52",-0.586700135740742
"53",-0.57542150681793
"54",-0.569905185255242
"55",-0.523464710485805
"56",-0.601865775143436
"57",-0.582252316992762
"58",-0.580500395125099
"59",-0.529130953672562
"60",-0.524892322818757
"61",-0.540694712521615
"62",-0.477888853677507
"63",-0.504551286788168
"64",-0.475662154017638
"65",-0.471399721996379
"66",-0.491012175041167
"67",-0.613388966267553
"68",-0.457488726548436
"69",-0.49761049183534
"70",-0.403196886067061
"71",-0.421305569053178
"72",-0.379485899675569
"73",-0.432980300517614
"74",-0.365894354848942
"75",-0.303835970019935
"76",-0.262304782168061
"77",-0.306181995376725
"78",-0.158969947476275
"79",-0.212815453733452
"80",-0.221130051810227
"81",-0.209910555218838
"82",-0.185617798967028
"83",-0.197268938108856
"84",-0.181303996890975
"85",-0.159675245290117
"86",-0.153858138900791
"87",-0.221650872940081
"88",-0.176278187936316
"89",-0.217235634447035
"90",0.720062017030074
"91",0.74761398421138
"92",-0.148470879244433
"93",-0.146741630767943
"94",-0.126616654251543
"95",-0.180716208294198
"96",-0.161956918116268
"97",-0.164316479902775
"98",-0.0778523312814632
"99",-0.053089859687531
"100",-0.110992327158073
"101",-0.166103392164227
"102",-0.103127667173117
"103",-0.203056388561635
"104",-0.137220929994609
"105",-0.234957700825614
"106",-0.232867535210711
"107",-0.0513927468804027
"108",-0.306225090149934
"109",-0.254658062986641
"110",-0.102884775721193
"111",-0.0257712198473835
"112",-0.0162818170478475
"113",-0.0570579835972648
"114",0.00332747544006229
"115",-0.00178020811640345
"116",-0.0199926121303597
"117",0.024967872223242
"118",-0.0523925951798813
"119",-0.0523471638561275
"120",0.0488547162925337
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
