"","x"
"1",0.109062265953872
"2",0.0279912505409892
"3",0.345073980512454
"4",0.0804312494572113
"5",0.125014166089529
"6",0.0197460370551803
"7",-0.0418411876932482
"8",0.0697014786571164
"9",0.111837079100099
"10",-0.1729169417668
"11",-0.555320787938815
"12",-0.733928037989679
"13",-0.71148000935235
"14",-0.785183186145413
"15",-0.777095413560322
"16",-0.771428820716854
"17",-0.575459995865205
"18",-0.623990738245655
"19",-0.274611789537164
"20",-0.363309139093802
"21",-0.532651397227781
"22",-0.43402021662023
"23",-0.469559680658274
"24",-0.295726995912622
"25",-0.310595657821493
"26",-0.48576673086182
"27",-0.500302026164094
"28",-0.360893273630064
"29",-0.438324513043552
"30",-0.49425260207536
"31",-0.436614485286832
"32",-0.373843926638328
"33",-0.465660661288298
"34",-0.413704276146318
"35",-0.320280565737207
"36",-0.198108886271431
"37",-0.301413516753962
"38",-0.367379231800363
"39",-0.354874084905006
"40",-0.470976466890793
"41",-0.455556787522639
"42",-0.442204112875371
"43",-0.499053593640148
"44",-0.400725957022418
"45",-0.426676809432773
"46",-0.560921891798797
"47",-0.514870180959874
"48",-0.584950023610894
"49",-0.609804265777231
"50",-0.704453783287226
"51",-0.792555361845766
"52",-0.683551491243798
"53",-0.690348906278248
"54",-0.685487361242704
"55",-0.598542042583905
"56",-0.682778556629406
"57",-0.545312598375622
"58",-0.572706748055858
"59",-0.492467270454594
"60",-0.460290151585606
"61",-0.459400905369504
"62",-0.534002376865178
"63",-0.481049851436118
"64",-0.457555187012641
"65",-0.361935936404022
"66",-0.424934160935798
"67",-0.205280546906986
"68",-0.419092241650091
"69",-0.286913376059541
"70",-0.329630627663501
"71",-0.339844338911504
"72",-0.191127899847711
"73",-0.0204302868579052
"74",-0.325225130989622
"75",-0.244717637263063
"76",-0.2025310668337
"77",-0.257830766375954
"78",-0.221563553201731
"79",-0.293664354009181
"80",-0.2543619416024
"81",-0.150899159878018
"82",-0.283441195458769
"83",-0.214191353743519
"84",-0.130725041263634
"85",-0.168816619989127
"86",-0.147978575525163
"87",-0.149551900823273
"88",-0.0145705186930124
"89",-0.178193559243602
"90",0.71209143410032
"91",0.615269860401706
"92",-0.124617860782283
"93",-0.18117307905533
"94",-0.168864992018818
"95",-0.0294197177005008
"96",0.0325868887059202
"97",0.0118410121412913
"98",0.0206778493366595
"99",0.0260312464875769
"100",0.218066267904924
"101",0.086676029140706
"102",0.390154794838761
"103",-0.154642234504252
"104",0.104347219731837
"105",0.109759561994782
"106",0.111239779625923
"107",0.454637315048721
"108",-0.0255077354440914
"109",0.0678335327079242
"110",0.232855112109231
"111",-0.0326089340146017
"112",0.0955314795870916
"113",0.214187162909491
"114",0.451131211761082
"115",0.428051061956642
"116",0.511531845198235
"117",0.53739415071515
"118",0.250104691091488
"119",0.431450960229278
"120",0.600940564687814
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
