"","x"
"1",-0.0704546031638575
"2",-0.0860499694888734
"3",0.00073745657446711
"4",-0.0269359727906455
"5",0.030181890865479
"6",-0.0153081206259505
"7",0.0361944647103978
"8",-0.0297409506369725
"9",0.0279085570062587
"10",-0.237540783213586
"11",-0.480030588480657
"12",-0.572713159229599
"13",-0.672004676527371
"14",-0.737922489158119
"15",-0.731316582472451
"16",-0.674770608332606
"17",-0.667883263610234
"18",-0.608125513116965
"19",-0.212263017356477
"20",-0.467108646402313
"21",-0.564714650914942
"22",-0.48976844924536
"23",-0.509949172245839
"24",-0.419324938394414
"25",-0.327841080674979
"26",-0.449003943604758
"27",-0.604588357433179
"28",-0.512961545819782
"29",-0.523590967505048
"30",-0.450559354244629
"31",-0.428737898231549
"32",-0.509630460737352
"33",-0.59196266980659
"34",-0.521940866636305
"35",-0.496469232955821
"36",-0.441480071261396
"37",-0.491712572117734
"38",-0.546292414007298
"39",-0.541572690365672
"40",-0.555402226752391
"41",-0.517256598806736
"42",-0.584142147774942
"43",-0.60309657004012
"44",-0.500916992265371
"45",-0.604417470898419
"46",-0.645234690896792
"47",-0.606088133966372
"48",-0.655535795743781
"49",-0.727872241827968
"50",-0.736283843089595
"51",-0.783196703206548
"52",-0.668366269202474
"53",-0.67584449880234
"54",-0.640733642168954
"55",-0.673599943135879
"56",-0.635793485514879
"57",-0.555539403630549
"58",-0.641383009518621
"59",-0.547483916203181
"60",-0.6223183418315
"61",-0.593853645909172
"62",-0.584534477755011
"63",-0.562358788974244
"64",-0.531011267042748
"65",-0.448162078593351
"66",-0.535072623390926
"67",-0.425094031131086
"68",-0.497164067901278
"69",-0.482597683485584
"70",-0.443611740869345
"71",-0.500327102803738
"72",-0.426128229718271
"73",-0.399962385327492
"74",-0.486277082009553
"75",-0.292034722399001
"76",-0.302617201335354
"77",-0.341393711284776
"78",-0.250638931672394
"79",-0.414322840683163
"80",-0.349196479816338
"81",-0.276829243416354
"82",-0.311938768179828
"83",-0.222929049374483
"84",-0.246400264675841
"85",-0.180749075103754
"86",-0.207112844880174
"87",-0.24512649421762
"88",-0.158740000698642
"89",-0.300946901789496
"90",0.427595310194888
"91",0.37793751727951
"92",-0.216441900580209
"93",-0.23382119972572
"94",-0.250772463230749
"95",-0.210423074128784
"96",-0.207470607518455
"97",-0.190451772881381
"98",-0.196162538628293
"99",-0.195490461580653
"100",-0.101850443934659
"101",-0.302990767475849
"102",-0.0111876308149355
"103",-0.390497106470524
"104",-0.0813551173818386
"105",-0.267446486157075
"106",-0.199147407413771
"107",-0.0572906023154385
"108",-0.285585636292002
"109",-0.207966129413261
"110",-0.215190627820253
"111",-0.190163064591008
"112",-0.132776611362813
"113",-0.180208383892315
"114",0.13527275285592
"115",0.0199867913378966
"116",0.112624314063054
"117",0.317127012329726
"118",-0.135230949266879
"119",0.134634983246694
"120",0.255059369986778
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
