"","x"
"1",0.163226332876164
"2",0.150207972270364
"3",0.298415276807132
"4",0.180773590738896
"5",0.144415677462425
"6",0.131608749110205
"7",0.200274046757119
"8",0.159411170538654
"9",0.290625422126168
"10",0.344920621863948
"11",0.168070512716081
"12",-0.0846830098311063
"13",-0.0892455126254947
"14",-0.0634925558312652
"15",-0.126317445335851
"16",-0.0284762044797334
"17",-0.0878997193869683
"18",-0.0655123224474925
"19",-0.0359444798978938
"20",-0.00450123191610363
"21",-0.0266570049798802
"22",-0.115933882288597
"23",-0.133019496105424
"24",-0.0727112204196826
"25",-0.101816206147159
"26",-0.0624020927438369
"27",-0.0828696490837596
"28",-0.10072653798203
"29",-0.0775554431842808
"30",-0.0525856364481123
"31",-0.0457684553682491
"32",-0.0307229970239828
"33",-0.0291608432331705
"34",-0.0224744901620292
"35",-0.00562504518834417
"36",-0.0371846912148447
"37",-0.0386519586554338
"38",-0.0453415971666887
"39",-0.0453010770690353
"40",-0.0156381604806503
"41",-0.0558674554913443
"42",-0.0298201652984107
"43",-0.0516383669777619
"44",-0.0459757592264729
"45",-0.0448455630921027
"46",-0.0498839258244101
"47",0.00823287268450468
"48",-0.053011903691044
"49",-0.106648078766228
"50",-0.0891701091312657
"51",0.0276680607187116
"52",-0.107266267581642
"53",0.0187496744848175
"54",0.0720277296360492
"55",0.198742043329619
"56",0.0717598158771595
"57",0.055265171869149
"58",0.0451692228046341
"59",0.081841864871266
"60",0.0682552035899398
"61",0.037738079157098
"62",0.0408653450686842
"63",0.0121377018198403
"64",0.0388832871187297
"65",0.0175844234864622
"66",0.0513182382133999
"67",-0.0043574012899168
"68",0.0453201326602293
"69",0.0680101144037746
"70",0.0616425883209912
"71",0.105041480536056
"72",0.118011245182889
"73",0.0110235734879207
"74",-0.0343350247637575
"75",0.0915960790993688
"76",0.109634394362201
"77",0.083452343992549
"78",0.031132606348192
"79",-0.00774538170487438
"80",-0.0347935743662493
"81",0.00225384670952877
"82",-0.0209638588142551
"83",-0.0194455168075033
"84",-0.000773180836786125
"85",0.0181254367575121
"86",-0.0164037945435502
"87",0.0397802038898116
"88",0.0552044070745132
"89",0.0537074032253373
"90",1.10245058836969
"91",1.06490317540041
"92",0.0133078780391966
"93",0.00532593924586067
"94",0.030373928813703
"95",0.00723594951280004
"96",0.0178401198420304
"97",0.046877627669708
"98",0.058428663328947
"99",0.00205821817112617
"100",0.119336751521694
"101",0.0905724492463218
"102",0.145693322646278
"103",0.0943889405204474
"104",0.0340844567739009
"105",0.129824134997656
"106",0.149081455805892
"107",0.31962676841131
"108",0.00463742228023789
"109",0.1066875091593
"110",0.16954636640135
"111",0.21869607876307
"112",0.163716447815074
"113",0.223794407672565
"114",0.158443694990543
"115",0.203522377360335
"116",0.183057096042348
"117",0.168710069972615
"118",0.190989454094294
"119",0.23748623564575
"120",0.237514091065039
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
