"","x"
"1",0.0509154848820765
"2",-0.0298941211313483
"3",-0.0129723851322483
"4",-0.0135530267109215
"5",-0.000628293473854624
"6",-0.0427937873173726
"7",0.0660863422944293
"8",0.0675914414709162
"9",0.0192350063896347
"10",-0.075335546254871
"11",-0.241770568186721
"12",-0.957904203156114
"13",-1
"14",-1
"15",-1
"16",-1
"17",-0.908758903169831
"18",-0.972042528008489
"19",-0.806088691510587
"20",-0.738582485715443
"21",-0.738139729997712
"22",-0.734079450781278
"23",-0.522509748316199
"24",-0.0459810171993192
"25",-0.172764710540905
"26",-0.397474335769649
"27",-0.172649695747669
"28",-0.285656743198213
"29",-0.320797221075801
"30",-0.124954396205765
"31",-0.249562124194218
"32",-0.260211976506214
"33",-0.124740893095303
"34",0.180925247591915
"35",-0.246360737557188
"36",-0.256828662646329
"37",-0.266649698820735
"38",-0.0827768631730819
"39",-0.257684125586855
"40",-0.150582616657989
"41",-0.294551065342141
"42",-0.176842323364873
"43",-0.184381980640358
"44",-0.158775959603629
"45",-0.21036344371752
"46",-0.10732346566758
"47",-0.134536935401959
"48",-0.312142461708803
"49",-0.184338550794706
"50",-0.276883901838429
"51",0.0114880144730887
"52",-0.0907066980471978
"53",-0.138221016016208
"54",-0.0966422330815931
"55",-0.14590049326135
"56",-0.141160897739844
"57",0.119598702877989
"58",-0.164628410159925
"59",0.199048489633108
"60",0.265436541691204
"61",-0.041268232494602
"62",-0.0863245572438823
"63",0.154644290090168
"64",0.137036164700342
"65",0.10195856607509
"66",0.0242033077853974
"67",-0.21220529737072
"68",-0.239067221620388
"69",0.0970319404370372
"70",0.0112442095381922
"71",-0.0986870052133618
"72",0.00615958179681453
"73",-0.205094958431851
"74",-0.206135802910573
"75",-0.0763519634487373
"76",-0.0422910559439132
"77",-0.0305892135899257
"78",-0.323666358097184
"79",0.14983977244086
"80",-0.0751766816800324
"81",-0.0636779474480671
"82",-0.0614374315943091
"83",0.130911323378054
"84",0.0573700936756463
"85",-0.0733855028682532
"86",0.286663953330619
"87",-0.286874008349123
"88",-0.157354853967127
"89",-0.349249172817511
"90",0.580843861563789
"91",0.449163732394364
"92",-0.290787654631309
"93",-0.274960558936219
"94",-0.2916637889357
"95",-0.203350707371555
"96",-0.223148183302327
"97",-0.228729040178948
"98",-0.17803800339376
"99",-0.179817119265672
"100",-0.129144368579689
"101",-0.179518946032513
"102",-0.266768335338722
"103",-0.0957937584803257
"104",-0.146841803956492
"105",-0.118172088222928
"106",-0.195524211461571
"107",-0.146968578863556
"108",-0.41862256993836
"109",-0.289623023915687
"110",-0.152994029220343
"111",-0.20293347737566
"112",-0.0524547972692972
"113",-0.197660071387653
"114",-0.226872564583634
"115",-0.093274084300445
"116",-0.0573624820675322
"117",-0.0484574229889925
"118",-0.12345607867996
"119",-0.0730377413408368
"120",-0.00245167911511479
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
