"","x"
"1",0.125899232025479
"2",-0.0517853780985276
"3",0.0996696786874547
"4",0.014628714772057
"5",-0.0520035272156765
"6",0.069109529696942
"7",0.257006478008869
"8",0.194969902535166
"9",0.0885977850553801
"10",-0.174411557947299
"11",-0.533756843427263
"12",-0.916409993155373
"13",-1
"14",-1
"15",-1
"16",-1
"17",-1
"18",-0.905844050560668
"19",-0.934576072763294
"20",-0.911152641125708
"21",-0.638409459330601
"22",-0.702235129271379
"23",-0.4361038236115
"24",-0.185731447670478
"25",-0.243179319764149
"26",0.0707010517855369
"27",0.082096458230674
"28",0.0151729887453105
"29",0.0357804438366331
"30",0.0520669017351756
"31",-0.109747131558429
"32",-0.150909456442382
"33",-0.0952500399060519
"34",0.150987430548152
"35",0.103090380439444
"36",-0.192210533406685
"37",-0.0765976786463435
"38",-0.175677992251517
"39",-0.263258907151386
"40",-0.106264047233639
"41",-0.232522547144027
"42",-0.0944315781436849
"43",-0.230100326534473
"44",-0.227459419576982
"45",-0.250429457889755
"46",-0.128698575013022
"47",-0.0182671443709908
"48",-0.117031535320791
"49",-0.139905436060015
"50",-0.120549635632933
"51",-0.0758340895745485
"52",-0.0107540787902924
"53",0.0718980712907098
"54",-0.108239723878255
"55",0.0184952635745652
"56",-0.121086850794789
"57",-0.248783225111945
"58",-0.219682440786208
"59",0.0785407432662815
"60",0.0334892949551608
"61",-0.0974225644358833
"62",-0.0837636050711453
"63",0.0847060831819282
"64",0.0261073628630133
"65",0.0169843270565142
"66",0.0194300679678219
"67",0.00222775034344624
"68",0.101083172647622
"69",-0.0751322628818869
"70",-0.0597505690993592
"71",-0.207483452654325
"72",-0.129236519540485
"73",-0.0662725278916824
"74",-0.0801618152232892
"75",-0.114652525816358
"76",-0.00633972856922316
"77",-0.0569306106132805
"78",0.221318404168338
"79",-0.00872522744480753
"80",-0.0554754957422759
"81",0.0619133461801478
"82",0.0539111069871023
"83",-0.00274033641527893
"84",-0.117821960278076
"85",0.0906893485052318
"86",-0.03838362298753
"87",0.0844180540049808
"88",-0.121310444711409
"89",0.0317088519088253
"90",0.898286876721407
"91",0.804327207400221
"92",-0.0775116162615983
"93",-0.173074610549324
"94",0.0160715649097829
"95",-0.133382234631582
"96",-0.0170560747663588
"97",-0.121370058312787
"98",-0.0445249254367301
"99",0.02925518494222
"100",-0.107808941504749
"101",-0.10882141262857
"102",-0.0807110577484316
"103",0.0160999306037495
"104",0.0862315957023467
"105",0.0130380208122443
"106",-0.134797615312209
"107",-0.00692036799432449
"108",-0.243402360048122
"109",-0.169249092429082
"110",-0.097020083527225
"111",0.177020115922263
"112",0.0103363676583006
"113",-0.0692357691057714
"114",-0.0506993430780769
"115",0.0285076756124027
"116",-0.0624449985332906
"117",-0.0290923443209478
"118",-0.0769595310843648
"119",-0.0425995371229853
"120",-0.0969420107929034
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
