"","x"
"1",-0.0439027998668481
"2",0.0855643695256987
"3",0.120400810628238
"4",0.168419522124751
"5",0.119953700422838
"6",-0.0400829779877835
"7",-0.0163820354281403
"8",-0.0413945239846012
"9",-0.00742951762603949
"10",-0.00635334533639587
"11",-0.27199046002102
"12",-0.362997517418115
"13",-0.398068732703971
"14",-0.416731990279847
"15",-0.53896507651387
"16",-0.404222115516531
"17",-0.35378782559854
"18",-0.275016213329263
"19",-0.346118829241975
"20",-0.295690737176806
"21",-0.398269355504452
"22",-0.336358706054999
"23",-0.316222415565926
"24",-0.400145610151107
"25",-0.415380525277399
"26",-0.50859740607033
"27",-0.415815738963532
"28",-0.409372906533073
"29",-0.319857827690745
"30",-0.395589541063121
"31",-0.392589384794434
"32",-0.347740696771168
"33",-0.351770423513076
"34",-0.21630088874965
"35",-0.284723324549987
"36",-0.285537055174665
"37",-0.200930055665042
"38",-0.264216027874565
"39",-0.178716640792489
"40",-0.199684630368241
"41",-0.219768317086156
"42",-0.108542471935048
"43",-0.0853831555285316
"44",-0.149551066217733
"45",-0.169977648636568
"46",-0.18119029391206
"47",-0.205059795891715
"48",-0.113288809623193
"49",-0.238871217404617
"50",-0.256128562032248
"51",-0.29574165648962
"52",-0.290153328918547
"53",-0.230887302585346
"54",-0.16191538588663
"55",-0.109727538842602
"56",-0.112295836766345
"57",-0.142182221907259
"58",-0.185017863316814
"59",-0.298276307680074
"60",-0.199316579436827
"61",-0.171881127717983
"62",-0.213757993419011
"63",-0.224068235103889
"64",-0.211379835028429
"65",-0.215147887185727
"66",-0.294387395155601
"67",-0.449203772151024
"68",-0.387450267526409
"69",-0.348592290949939
"70",-0.303303704268874
"71",-0.363990423523065
"72",-0.368672077650406
"73",-0.520755940798396
"74",-0.49840490014675
"75",-0.363189116507159
"76",-0.418495460826412
"77",-0.365581317251317
"78",-0.423278513170209
"79",-0.260836852207294
"80",-0.352809250575248
"81",-0.30147399232389
"82",-0.298858952781052
"83",-0.380301512978048
"84",-0.306511893769512
"85",-0.30719162230965
"86",-0.247943014493709
"87",-0.239848884091559
"88",-0.269817172706496
"89",-0.161359471700724
"90",0.74581881533101
"91",0.686294078509649
"92",-0.192338373063723
"93",-0.0892585045253438
"94",-0.111631003680346
"95",-0.0925506236987085
"96",-0.111260755705201
"97",-0.163880196691999
"98",-0.106846852844257
"99",0.00712699863803468
"100",-0.0595378135316657
"101",-0.257633230706425
"102",-0.139014808099124
"103",-0.0955975094596492
"104",-0.172821897339242
"105",-0.214890705329733
"106",-0.0717856552635927
"107",-0.0234631839675744
"108",-0.0950419231328464
"109",-0.0755911463869798
"110",-0.0157427682378705
"111",-0.181653710809361
"112",-0.0924131666594573
"113",-0.0605473005359711
"114",-0.0855321702779328
"115",-0.126546204220228
"116",-0.0603627772883805
"117",-0.133147533905125
"118",-0.14252959159677
"119",-0.175135583267125
"120",-0.240859514336672
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
