"","x"
"1",0.0789679298220674
"2",0.0677461826513686
"3",0.146122585624879
"4",0.0472165118000214
"5",0.0310460827625363
"6",0.0458778749595068
"7",0.0520570387335075
"8",0.0624695488355476
"9",0.1064924492205
"10",-0.0269324321069905
"11",-0.446446686749319
"12",-0.602454598841833
"13",-0.610877437639173
"14",-0.61741596439039
"15",-0.629793716560814
"16",-0.594887939434825
"17",-0.595959670189157
"18",-0.576734651589604
"19",-0.568819833715813
"20",-0.547679949739723
"21",-0.525280317603868
"22",-0.549034749034749
"23",-0.530955560907612
"24",-0.462158223403531
"25",-0.480764652840395
"26",-0.415978116125718
"27",-0.428816696024437
"28",-0.442252120460915
"29",-0.433601761696066
"30",-0.410209838027266
"31",-0.418855487865775
"32",-0.402861098292572
"33",-0.386172515868689
"34",-0.367743389423078
"35",-0.371658122385048
"36",-0.404595276443506
"37",-0.410231402871137
"38",-0.395052718099881
"39",-0.385215683697976
"40",-0.372580515621234
"41",-0.400654318574976
"42",-0.386591541259541
"43",-0.404562448328587
"44",-0.400507536255204
"45",-0.420470722559851
"46",-0.404616514687221
"47",-0.388131678245231
"48",-0.432227531703729
"49",-0.444823688468274
"50",-0.456128671885161
"51",-0.374551514557394
"52",-0.404232728700291
"53",-0.38919274070391
"54",-0.389224219003813
"55",-0.330140515004695
"56",-0.410476112161826
"57",-0.399084018968103
"58",-0.395359572400391
"59",-0.378241027098417
"60",-0.36464254393088
"61",-0.369170024830054
"62",-0.332854356150305
"63",-0.366962743837748
"64",-0.350021929335503
"65",-0.349220630243596
"66",-0.359238983459659
"67",-0.427624171149754
"68",-0.367198860655123
"69",-0.349961051749734
"70",-0.320681131963769
"71",-0.294067190850607
"72",-0.277403817387661
"73",-0.327421691179289
"74",-0.358161426732855
"75",-0.253132777206083
"76",-0.234405321936376
"77",-0.276220018034263
"78",-0.190810056314075
"79",-0.266204374679481
"80",-0.253208615881297
"81",-0.231891880221938
"82",-0.225999686596294
"83",-0.222574938294502
"84",-0.19908715966774
"85",-0.194371216918747
"86",-0.197235576923079
"87",-0.212516949582694
"88",-0.208554853974547
"89",-0.217573427260351
"90",0.626495096649846
"91",0.643853616872165
"92",-0.184972364395701
"93",-0.181211502688929
"94",-0.166600099850225
"95",-0.199705884504793
"96",-0.186259955096937
"97",-0.185694774647175
"98",-0.140914250947859
"99",-0.124678209965792
"100",-0.118429516632971
"101",-0.146294613503553
"102",-0.104607120721714
"103",-0.140711694931868
"104",-0.165267356061346
"105",-0.212664701495188
"106",-0.199681958859844
"107",-0.073549515032592
"108",-0.267535564509496
"109",-0.21729015523041
"110",-0.109653385163588
"111",-0.0800665340443687
"112",-0.124476239971414
"113",-0.084837383481902
"114",-0.0833500573969859
"115",-0.0805603525047788
"116",-0.0949205712034346
"117",-0.0691273607893387
"118",-0.102319156245201
"119",-0.0670439575805264
"120",-0.0545161532119033
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
