"","x"
"1",0.0725093505610279
"2",0.0656634504735782
"3",0.124407594191336
"4",0.026294570485234
"5",0.0243646638699146
"6",0.0260184169578883
"7",0.0245098039215634
"8",0.0179238363417171
"9",0.0235616303167918
"10",-0.060027239809984
"11",-0.486889615521702
"12",-0.640879752120942
"13",-0.636958847550592
"14",-0.64320299816191
"15",-0.666154717248213
"16",-0.622469384478404
"17",-0.628393346083463
"18",-0.613377578705253
"19",-0.630104748603353
"20",-0.612426928671406
"21",-0.613609934678056
"22",-0.637190352700701
"23",-0.604890129054761
"24",-0.533115868064726
"25",-0.534651426217691
"26",-0.426440877491609
"27",-0.460015076222745
"28",-0.482088843867987
"29",-0.475906579113879
"30",-0.447513274582302
"31",-0.466897404889983
"32",-0.449422539432507
"33",-0.433890095801131
"34",-0.418192805346225
"35",-0.407827154979901
"36",-0.430639112293221
"37",-0.437248530936746
"38",-0.423607989661757
"39",-0.431286156805615
"40",-0.419963717732432
"41",-0.443601230047522
"42",-0.452867917438335
"43",-0.441183418398389
"44",-0.448903815114248
"45",-0.46787761007717
"46",-0.432783378028033
"47",-0.382257217847771
"48",-0.449067946791089
"49",-0.464512176007067
"50",-0.464591682639251
"51",-0.373509627362355
"52",-0.403859154224286
"53",-0.361073331066533
"54",-0.393423032663538
"55",-0.326846549087766
"56",-0.400410799616363
"57",-0.327488472072945
"58",-0.357447134147895
"59",-0.303213891190281
"60",-0.310952425113605
"61",-0.33480542123096
"62",-0.282671162342625
"63",-0.30955849308063
"64",-0.273197686670256
"65",-0.285196570378071
"66",-0.330377130432916
"67",-0.412654823412836
"68",-0.334026652654315
"69",-0.353279489260997
"70",-0.268263677730384
"71",-0.287241620111733
"72",-0.268010538738099
"73",-0.310767353384538
"74",-0.305520986143654
"75",-0.232131147540985
"76",-0.201521781026278
"77",-0.230954587581094
"78",-0.086651500930624
"79",-0.17173720533669
"80",-0.17348001331737
"81",-0.160660301747773
"82",-0.15950348892163
"83",-0.138964179975815
"84",-0.125459145623219
"85",-0.106449659888172
"86",-0.132212427129249
"87",-0.119319450647609
"88",-0.101963847198476
"89",-0.141341168337367
"90",0.794176311945164
"91",0.804297090482188
"92",-0.107971510655271
"93",-0.116752238154653
"94",-0.107369085004163
"95",-0.106666571222003
"96",-0.107092450112551
"97",-0.10515490240581
"98",-0.0266162520335449
"99",0.0248468941382338
"100",-0.0316666292798552
"101",-0.0669288533606919
"102",-0.0114494395074629
"103",-0.020883012421254
"104",-0.00933074053363903
"105",-0.0294306547281752
"106",-0.0528193325661636
"107",0.0876523159624301
"108",-0.163157045977301
"109",-0.0790313074229431
"110",0.0325655349505589
"111",0.082617025683511
"112",0.0690986654076677
"113",0.0366623902102077
"114",0.0998571570939781
"115",0.0750437787661402
"116",0.0913312572681801
"117",0.0908262134020488
"118",0.0202619100408341
"119",0.069636916979261
"120",0.0975098889229475
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
