ID,B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,noncit,GEO_ID,NAME,,,,,
25025000100,3671,2619,13,138,430,471,1400000US25025000100,"Census Tract 1, Suffolk County, Massachusetts",,,,,
25025000201,3284,2543,106,36,248,351,1400000US25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",,,,,
25025000202,3587,2922,48,0,518,99,1400000US25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",,,,,
25025000301,2712,2114,4,70,384,140,1400000US25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",,,,,
25025000302,2880,2072,0,0,487,321,1400000US25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",,,,,
25025000401,5265,3175,108,25,1102,855,1400000US25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",,,,,
25025000402,3176,2242,39,22,442,431,1400000US25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",,,,,
25025000502,6350,5166,121,71,403,589,1400000US25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",,,,,
25025000503,2096,1649,14,72,87,274,1400000US25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",,,,,
25025000504,4149,3239,11,26,478,395,1400000US25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",,,,,
25025000601,3294,2444,9,89,432,320,1400000US25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",,,,,
25025000602,3527,2345,125,23,504,530,1400000US25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",,,,,
25025000701,3777,2532,0,40,343,862,1400000US25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",,,,,
25025000703,2146,1502,6,18,192,428,1400000US25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",,,,,
25025000704,4261,2895,85,61,416,804,1400000US25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",,,,,
25025000802,7120,4661,151,186,751,1371,1400000US25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",,,,,
25025000803,6234,4406,0,144,446,1238,1400000US25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",,,,,
25025010103,3621,2646,28,103,139,705,1400000US25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",,,,,
25025010104,4784,3493,72,162,345,712,1400000US25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",,,,,
25025010203,4972,3183,301,131,235,1122,1400000US25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",,,,,
25025010204,3360,2356,1,40,154,809,1400000US25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",,,,,
25025010300,5233,4370,36,91,217,519,1400000US25025010300,"Census Tract 103, Suffolk County, Massachusetts",,,,,
25025010403,2875,1872,31,35,356,581,1400000US25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",,,,,
25025010404,5167,3775,63,25,165,1139,1400000US25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",,,,,
25025010405,5947,4602,23,119,370,833,1400000US25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",,,,,
25025010408,1484,1001,22,25,142,294,1400000US25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",,,,,
25025010500,3333,2085,9,148,355,736,1400000US25025010500,"Census Tract 105, Suffolk County, Massachusetts",,,,,
25025010600,3033,2379,0,45,336,273,1400000US25025010600,"Census Tract 106, Suffolk County, Massachusetts",,,,,
25025010701,2825,2330,3,20,217,255,1400000US25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",,,,,
25025010702,2446,2054,57,5,108,222,1400000US25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",,,,,
25025010801,3091,2412,30,51,271,327,1400000US25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",,,,,
25025010802,2849,2312,0,52,215,270,1400000US25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",,,,,
25025020101,4416,4025,0,88,80,223,1400000US25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",,,,,
25025020200,3894,3037,82,181,243,351,1400000US25025020200,"Census Tract 202, Suffolk County, Massachusetts",,,,,
25025020301,2371,1691,19,42,264,355,1400000US25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",,,,,
25025020302,995,944,0,0,24,27,1400000US25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",,,,,
25025020303,3574,2604,62,149,373,386,1400000US25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",,,,,
25025030100,2151,1944,0,7,119,81,1400000US25025030100,"Census Tract 301, Suffolk County, Massachusetts",,,,,
25025030200,1738,1458,0,31,134,115,1400000US25025030200,"Census Tract 302, Suffolk County, Massachusetts",,,,,
25025030300,5511,4429,38,86,401,557,1400000US25025030300,"Census Tract 303, Suffolk County, Massachusetts",,,,,
25025030400,2608,2244,0,49,113,202,1400000US25025030400,"Census Tract 304, Suffolk County, Massachusetts",,,,,
25025030500,2610,2201,0,30,192,187,1400000US25025030500,"Census Tract 305, Suffolk County, Massachusetts",,,,,
25025040100,2399,2126,0,31,147,95,1400000US25025040100,"Census Tract 401, Suffolk County, Massachusetts",,,,,
25025040200,1841,1328,11,10,285,207,1400000US25025040200,"Census Tract 402, Suffolk County, Massachusetts",,,,,
25025040300,4325,3591,0,166,306,262,1400000US25025040300,"Census Tract 403, Suffolk County, Massachusetts",,,,,
25025040401,2523,2121,34,43,131,194,1400000US25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",,,,,
25025040600,2872,2614,0,18,179,61,1400000US25025040600,"Census Tract 406, Suffolk County, Massachusetts",,,,,
