GEOID,NAME,variable,estimate,moe,geometry
25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",B05001_006,509,196,"list(list(c(-71.089862, -71.085915, -71.08171, -71.081595, -71.080862, -71.083173, -71.085125, -71.084699, -71.086243, -71.08871, -71.0893, -71.089497, -71.089862, 42.351576, 42.352526, 42.353673, 42.353704, 42.352267, 42.351651, 42.351144, 42.350297, 42.34991, 42.349252, 42.350459, 42.350848, 42.351576)))"
25025030100,"Census Tract 301, Suffolk County, Massachusetts",B05001_006,213,161,"list(list(c(-71.05807, -71.057369, -71.055779, -71.054434, -71.053786, -71.0534, -71.053965, -71.054999, -71.055485, -71.05595, -71.056352, -71.05675, -71.057404, -71.058525, -71.05807, 42.367264, 42.367771, 42.368197, 42.367868, 42.367637, 42.367525, 42.366908, 42.365964, 42.366185, 42.365508, 42.365723, 42.3654, 42.365308, 42.366952, 42.367264)))"
25025110607,"Census Tract 1106.07, Suffolk County, Massachusetts",B05001_006,218,97,"list(list(c(-71.147752, -71.147746, -71.147322, -71.145124, -71.144784, -71.143052, -71.140382, -71.139746, -71.137896, -71.137305, -71.13601, -71.132978, -71.130068, -71.129326, -71.130442, -71.130463, -71.127847, -71.12618, -71.127139, -71.125965, -71.126312, -71.127045, -71.127659, -71.137424, -71.13933, -71.139632, -71.140547, -71.145173, -71.147775, -71.147752, 42.286563, 42.286654, 42.287412, 42.288114, 42.288193, 42.288604, 42.290766, 42.291299, 42.292841, 42.293356, 42.294429, 42.296829, 
42.298184, 42.296497, 42.294873, 42.293156, 42.291, 42.290089, 42.289161, 42.288482, 42.288149, 42.28746, 42.287057, 42.286251, 42.286166, 42.286158, 42.286135, 42.286038, 42.285995, 42.286563)))"
25025130406,"Census Tract 1304.06, Suffolk County, Massachusetts",B05001_006,769,352,"list(list(c(-71.161574, -71.157521, -71.157052, -71.155786, -71.151124, -71.150086, -71.148391, -71.146434, -71.146219, -71.146991, -71.145233, -71.145529, -71.144116, -71.142834, -71.143804, -71.146127, -71.146306, -71.146642, -71.150386, -71.152118, -71.155958, -71.158584, -71.161574, 42.257546, 42.26074, 42.261202, 42.262454, 42.266666, 42.267577, 42.265687, 42.264583, 42.264072, 42.260991, 42.260124, 42.259229, 42.25932, 42.255943, 42.254436, 42.252964, 42.253933, 42.255755, 42.25746, 42.258247, 
42.256485, 42.255155, 42.257546)))"
25025050400,"Census Tract 504, Suffolk County, Massachusetts",B05001_006,784,189,"list(list(c(-71.040294, -71.03866, -71.037643, -71.036989, -71.034754, -71.035234, -71.035728, -71.036831, -71.039388, -71.038689, -71.038919, -71.041255, -71.040294, 42.370739, 42.370009, 42.369577, 42.369287, 42.36831, 42.367731, 42.367125, 42.365716, 42.366844, 42.368406, 42.368504, 42.369535, 42.370739)))"
25025060400,"Census Tract 604, Suffolk County, Massachusetts",B05001_006,39,37,"list(list(c(-71.047508, -71.046763, -71.045695, -71.045444, -71.044269, -71.04155, -71.04153, -71.041511, -71.041479, -71.037336, -71.037314, -71.037291, -71.037268, -71.037248, -71.039791, -71.041528, -71.044053, -71.047385, -71.047384, -71.047415, -71.047456, -71.047508, 42.334599, 42.334959, 42.335452, 42.335452, 42.33547, 42.335518, 42.334662, 42.333827, 42.333016, 42.33308, 42.332265, 42.331432, 42.330607, 42.329525, 42.330088, 42.330234, 42.330192, 42.330136, 42.330419, 42.331245, 42.332966, 
42.334599)))"
25025060700,"Census Tract 607, Suffolk County, Massachusetts",B05001_006,491,124,"list(list(c(-71.05624, -71.053928, -71.052377, -71.05084, -71.052405, -71.05389, -71.055375, -71.057112, -71.05624, 42.338869, 42.340791, 42.339803, 42.338795, 42.337488, 42.33624, 42.337224, 42.338333, 42.338869)))"
25025080401,"Census Tract 804.01, Suffolk County, Massachusetts",B05001_006,283,142,"list(list(c(-71.087462, -71.085345, -71.082524, -71.081113, -71.080943, -71.080625, -71.080297, -71.078827, -71.077621, -71.075783, -71.077045, -71.075037, -71.074357, -71.076878, -71.077472, -71.078675, -71.079264, -71.080891, -71.081521, -71.083448, -71.082986, -71.085025, -71.085223, -71.086181, -71.085349, -71.085037, -71.087043, -71.087462, 42.334126, 42.335071, 42.333795, 42.333009, 42.332931, 42.333367, 42.333796, 42.335065, 42.336001, 42.334493, 42.333609, 42.33349, 42.332847, 42.331253, 
42.330898, 42.330135, 42.328514, 42.328497, 42.328486, 42.32865, 42.330831, 42.330834, 42.3306, 42.33102, 42.332333, 42.332715, 42.333846, 42.334126)))"
25025080601,"Census Tract 806.01, Suffolk County, Massachusetts",B05001_006,384,98,"list(list(c(-71.094446, -71.093084, -71.09276, -71.090518, -71.088237, -71.084681, -71.084459, -71.081969, -71.082983, -71.083983, -71.088494, -71.087462, -71.087043, -71.085037, -71.085349, -71.086181, -71.085223, -71.085025, -71.082986, -71.083448, -71.0851, -71.086996, -71.087674, -71.091239, -71.091441, -71.088189, -71.090527, -71.093806, -71.0944, -71.095351, -71.094446, 42.332386, 42.333506, 42.333757, 42.335665, 42.337549, 42.340293, 42.340067, 42.338416, 42.337893, 42.33734, 42.334896, 42.334126, 
42.333846, 42.332715, 42.332333, 42.33102, 42.3306, 42.330834, 42.330831, 42.32865, 42.328899, 42.327782, 42.327912, 42.329939, 42.330037, 42.330611, 42.331173, 42.331331, 42.331412, 42.331554, 42.332386)))"
25025091400,"Census Tract 914, Suffolk County, Massachusetts",B05001_006,410,166,"list(list(c(-71.072138, -71.073145, -71.072825, -71.073011, -71.070388, -71.070167, -71.069698, -71.068747, -71.066837, -71.0652, -71.067429, -71.068499, -71.06972, -71.070217, -71.071623, -71.073171, -71.072138, 42.313657, 42.314217, 42.316544, 42.317035, 42.317441, 42.317927, 42.318947, 42.318594, 42.317816, 42.317071, 42.314603, 42.312726, 42.311639, 42.311334, 42.311881, 42.312222, 42.313657)))"
