"","ID","B05001_001E","B05001_002E","B05001_003E","B05001_004E","B05001_005E","noncit","GEO_ID","NAME"
"1","25025000101",2031,1298,11,33,211,478,"1400000US25025000101","Census Tract 1.01, Suffolk County, Massachusetts"
"2","25025000102",3786,2697,67,16,623,383,"1400000US25025000102","Census Tract 1.02, Suffolk County, Massachusetts"
"3","25025000201",4421,3228,16,79,743,355,"1400000US25025000201","Census Tract 2.01, Suffolk County, Massachusetts"
"4","25025000202",4187,3154,83,59,434,457,"1400000US25025000202","Census Tract 2.02, Suffolk County, Massachusetts"
"5","25025000301",2896,2418,92,17,223,146,"1400000US25025000301","Census Tract 3.01, Suffolk County, Massachusetts"
"6","25025000302",3446,2040,0,47,743,616,"1400000US25025000302","Census Tract 3.02, Suffolk County, Massachusetts"
"7","25025000401",5537,3443,19,86,994,995,"1400000US25025000401","Census Tract 4.01, Suffolk County, Massachusetts"
"8","25025000402",4098,3148,37,39,301,573,"1400000US25025000402","Census Tract 4.02, Suffolk County, Massachusetts"
"9","25025000502",5525,4153,55,97,634,586,"1400000US25025000502","Census Tract 5.02, Suffolk County, Massachusetts"
"10","25025000503",2121,1650,0,43,177,251,"1400000US25025000503","Census Tract 5.03, Suffolk County, Massachusetts"
"11","25025000505",2332,1851,71,13,173,224,"1400000US25025000505","Census Tract 5.05, Suffolk County, Massachusetts"
"12","25025000506",2761,1754,56,0,402,549,"1400000US25025000506","Census Tract 5.06, Suffolk County, Massachusetts"
"13","25025000601",3981,2876,13,11,594,487,"1400000US25025000601","Census Tract 6.01, Suffolk County, Massachusetts"
"14","25025000603",1439,674,0,0,293,472,"1400000US25025000603","Census Tract 6.03, Suffolk County, Massachusetts"
"15","25025000604",2368,1368,0,0,312,688,"1400000US25025000604","Census Tract 6.04, Suffolk County, Massachusetts"
"16","25025000701",4585,3110,18,62,576,819,"1400000US25025000701","Census Tract 7.01, Suffolk County, Massachusetts"
"17","25025000703",1919,1200,38,53,114,514,"1400000US25025000703","Census Tract 7.03, Suffolk County, Massachusetts"
"18","25025000704",4145,2273,15,76,342,1439,"1400000US25025000704","Census Tract 7.04, Suffolk County, Massachusetts"
"19","25025000804",3718,2743,39,0,389,547,"1400000US25025000804","Census Tract 8.04, Suffolk County, Massachusetts"
"20","25025000805",3156,1781,22,58,408,887,"1400000US25025000805","Census Tract 8.05, Suffolk County, Massachusetts"
"21","25025000806",2645,1544,14,46,125,916,"1400000US25025000806","Census Tract 8.06, Suffolk County, Massachusetts"
"22","25025000807",3523,2817,30,79,208,389,"1400000US25025000807","Census Tract 8.07, Suffolk County, Massachusetts"
"23","25025010103",3639,2498,4,54,147,936,"1400000US25025010103","Census Tract 101.03, Suffolk County, Massachusetts"
"24","25025010104",5027,3762,64,160,407,634,"1400000US25025010104","Census Tract 101.04, Suffolk County, Massachusetts"
"25","25025010204",3739,2748,5,80,167,739,"1400000US25025010204","Census Tract 102.04, Suffolk County, Massachusetts"
"26","25025010205",3886,2353,40,45,264,1184,"1400000US25025010205","Census Tract 102.05, Suffolk County, Massachusetts"
"27","25025010206",1967,1429,0,17,193,328,"1400000US25025010206","Census Tract 102.06, Suffolk County, Massachusetts"
"28","25025010300",5459,4667,42,8,169,573,"1400000US25025010300","Census Tract 103, Suffolk County, Massachusetts"
"29","25025010403",2741,1297,122,30,378,914,"1400000US25025010403","Census Tract 104.03, Suffolk County, Massachusetts"
"30","25025010404",5051,3542,16,146,227,1120,"1400000US25025010404","Census Tract 104.04, Suffolk County, Massachusetts"
